Heading,Content
No puedo ver comercios ni productos,"Si en el ERP de tu empresa lo actualizaron hace poco, es probable que haya que esperar a que los sistemas se actualicen. Igualmente, puedes probar lo siguiente:
1. Prueba sincronizando los datos en la aplicación
2. Asegúrate de tener la última versión
3. Asegúrate de tener conexión a internet
4. Verificar con tu supervisor que el comercio o producto se encuentre habilitado"
No puedo ingresar a la app,"Si la app te abre adecuadamente pero no logras enrtar con tu usuario, prueba los siguientes pasos:
1. Verifica que estés ingresando usuario y contraseña adecuadamente
2. Restablece tu contraseña si no la recuerdas.
3. Verifica la conexión a Internet y la versión de la aplicación

Si intentas abrir la aplicación pero se queda pegada o se te cae inmediatamente, puedes probar:
1. Verifica que tengas la última versión actualizada
2. Si no tienes ordenes sin guardar, puedes probar eliminar caché. Esto se hace manteniendo presionado el icono de la aplicación > configuración > almacenamiento"
¿Cómo puedo cambiar la contraseña?,"1. Abre la aplicación.
2. Haz click en ""Recuperar contraseña"".
3. Ingresa a tu correo para cambiar la contraseña.
4. Vuelve a iniciar sesión."
Problemas de sincronización,"1. Abre la aplicación.
2. Ingresa con tu usuario y contraseña y selecciona ""Sincronizar"".
3. Asegúrate de tener una conexión estable a Internet."
Por qué la orden aparece pendiente de aprobación?,"Se debe a que tu supervisor debe aprobar la orden al contar con un descuento mayor al límite establecido, por favor contáctate con él para que revise la orden"
La aplicación no permite ingresar pedidos,"1. Asegúrate que la orden cumple con el monto mínimo (si existe) o los descuentos no superan el máximo
2. Asegúrate de tener sincronizada la aplicación
3. Asegúrate de tener buena señal de internet, de lo contrario las ordenes quedarán pendientes de procesar hasta que tengas buena señal"
El precio del producto no es el adecuado,"1. Intenta sincronizando nuevamente para asegurarte de que tengas los datos más actualizados posibles
2. Contacta a tu supervisor para corroborar que no haya habido un cambio en los precios"
El producto aparece duplicado,"1. Intenta sincronizando nuevamente para asegurarte de que tengas los datos más actualizados posibles
2. Contacta a tu supervisor para corroborar que no haya habido un cambio o algo en particular que produzca esto"
El comercio aparece bloqueado pero ya se desbloqueó,"Si el desbloqueo del comercio se realizó hace poco, es posible que debas esperar a que esta información se actualice en nuestros sistemas. Por mientras puedes probar sincronizando nuevamente para asegurarte de que tengas los datos más recientes posibles"
No aparecen las descripciones ni imagenes de un producto,"Es posible que esa información no exista en nuestros sistemas; si esto te pasa para más productos, te recomiendo ver a través de tu supervisor para que nos puedan hacer llegar la información y cargarla en nuestros sistemas."
No veo mi ruta de hoy,"1. Asegurate de sincronizar para tener la data más reciente posible
2. Revisa que tengas seleccionado el filtro para mostrar la ruta del día"
La orden no tiene ID o numero de orden,"Verifica que tengas buena señal de internet, sincroniza la aplicación y revisa nuevamente por favor."
La aplicación se cae cada vez que intento hacer algo en específico,"Si intentas abrir la aplicación pero se queda pegada o se te cae inmediatamente, puedes probar:
1. Verifica que tengas la última versión actualizada
2. Si no tienes ordenes sin guardar, puedes probar eliminar caché. Esto se hace manteniendo presionado el icono de la aplicación > configuración > almacenamiento"
Se puede instalar en iphone?,De momento la aplicación solo está disponible para sistemas Android
Cómo veo qué versión tengo?,"Puedes verlo en la Play Store, busca la app de YOM ventas y te aparecerá qué versión tienes instalada y si es que hay actualizaciones disponibles.  https://play.google.com/store/apps/details?id=me.youorder.yomventas&hl=es_419&pli=1 "
Me aparece un error al sincronizar,"Verifica que tengas la última versión de la app, buena señal de internet, sincroniza la aplicación y revisa nuevamente por favor. Te adjunto el link para verificar si necesita actualización: https://play.google.com/store/apps/details?id=me.youorder.yomventas&hl=es_419&pli=1"
"La información del comercio, como dirección, deuda y cupo no está actualizada","Si la actualización de los datos del del comercio se realizó hace poco, es posible que debas esperar a que esta información se actualice en nuestros sistemas. Por mientras puedes probar sincronizando nuevamente para asegurarte de que tengas los datos más recientes posibles."
Cuál es la última versión de la app y cuándo se publicó?,Toda la información oficial sobre la última versión y su fecha de actualización está acá: https://play.google.com/store/apps/details?id=me.youorder.yomventas&hl=es_419&pli=1
No veo un cliente o comercio nuevo,"Si ingresaste un cliente o comercio nuevo hoy, es posible que aún no sea visible. Esto se debe a que, por una regla de negocio, la información se actualiza y está disponible al día siguiente de su creación."
Necesito realizar una actualización general ,No estoy habilitado para realizar una actualización general. Te sugiero gestionar esta solicitud a través del portal de asistencia al cliente en la siguiente URL: http://ayuda.yom.ai/  